Country,Date,Amount,Controller_Processor,Quoted_Art,Type,LLM_Summary
ITALY,2022-11-10,20000,Sportitalia,5,Non-compliance with general data processing principles,"On 2022-11-10, the DPA of ITALY fined Sportitalia €20000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2022-11-24,1000000,Areti spa,"5,12,15,24",Non-compliance with general data processing principles,"On 2022-11-24, the DPA of ITALY fined Areti spa €1000000 for Non-compliance with general data processing principles (Violating GDPR Article 5,12,15,24)."
ROMANIA,2022-12-27,3000,Kaufland Romania SCS,"29,32",Insufficient technical and organisational measures to ensure information security,"On 2022-12-27, the DPA of ROMANIA fined Kaufland Romania SCS €3000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 29,32)."
ROMANIA,2022-12-22,10000,SUDREZIDENȚIAL Broker S.R.L.,32,Insufficient technical and organisational measures to ensure information security,"On 2022-12-22, the DPA of ROMANIA fined SUDREZIDENȚIAL Broker S.R.L. €10000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
ITALY,2022-11-10,4000,Villafranca di Verona municipality,"5,6,2-",Non-compliance with general data processing principles,"On 2022-11-10, the DPA of ITALY fined Villafranca di Verona municipality €4000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,2-)."
ITALY,2022-12-01,100000,Lazio Region,"5,6,113,114",Insufficient legal basis for data processing,"On 2022-12-01, the DPA of ITALY fined Lazio Region €100000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,113,114)."
SPAIN,2022-12-20,3000,Private individual,6,Insufficient legal basis for data processing,"On 2022-12-20, the DPA of SPAIN fined Private individual €3000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-12-20,2000,Property owner administrative board,5,Non-compliance with general data processing principles,"On 2022-12-20, the DPA of SPAIN fined Property owner administrative board €2000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-12-20,1000,Private individual,5,Non-compliance with general data processing principles,"On 2022-12-20, the DPA of SPAIN fined Private individual €1000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-12-15,30000,"ORANGE ESPAGNE, S.A.U.",6,Insufficient legal basis for data processing,"On 2022-12-15, the DPA of SPAIN fined ORANGE ESPAGNE, S.A.U. €30000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-12-15,16000,"HOSPITAL RECOLETAS PONFERRADA, S.L.","6,15",Insufficient legal basis for data processing,"On 2022-12-15, the DPA of SPAIN fined HOSPITAL RECOLETAS PONFERRADA, S.L. €16000 for Insufficient legal basis for data processing (Violating GDPR Article 6,15)."
ROMANIA,2022-12-15,50000,Societatea Energetică Electrica S.A.,28,Insufficient data processing agreement,"On 2022-12-15, the DPA of ROMANIA fined Societatea Energetică Electrica S.A. €50000 for Insufficient data processing agreement (Violating GDPR Article 28)."
SPAIN,2022-12-13,56000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On 2022-12-13, the DPA of SPAIN fined Vodafone España, S.A.U. €56000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-12-13,56000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On 2022-12-13, the DPA of SPAIN fined Vodafone España, S.A.U. €56000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
ITALY,2022-10-20,7000,I.S.P.R.O.,"5,9",Non-compliance with general data processing principles,"On 2022-10-20, the DPA of ITALY fined I.S.P.R.O. €7000 for Non-compliance with general data processing principles (Violating GDPR Article 5,9)."
FRANCE,2022-12-08,300000,FREE SAS,"12,15,17,32,33",Insufficient fulfilment of data subjects rights,"On 2022-12-08, the DPA of FRANCE fined FREE SAS €300000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12,15,17,32,33)."
FINLAND,2022-12-09,230000,Viking Line Oy Abp,5,Non-compliance with general data processing principles,"On 2022-12-09, the DPA of FINLAND fined Viking Line Oy Abp €230000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-12-13,56000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On 2022-12-13, the DPA of SPAIN fined Vodafone España, S.A.U. €56000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
PORTUGAL,2022-11-02,4300000,Portuguese National Statistical Institute,5,Non-compliance with general data processing principles,"On 2022-11-02, the DPA of PORTUGAL fined Portuguese National Statistical Institute €4300000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
